N	Especie	Apendice	Categoria_nacional	UICN	Nativa_Endemica	Nombre_comun	Sinonimos	Autor	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10
						Colibrí de garganta	Trochilus fimbriatus											
104	Amazilia fimbriata	II	-	LC	Nativa			(Gmelin, 1788)										
						brillante	Polyerata fimbriata											
							Trochilus franciae	(Bourcier & Mulsant,										
105	Amazilia franciae	II	-	LC	Nativa	Colibrí andino												
							Agyrtria franciae	1846)										
							Ornismya lactea											
106	Amazilia lactea	II	-	LC	Nativa	Colibrí de pecho zafiro		(Lesson, 1829)										
							Polyerata lactea											
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
107	Amazilia tzacatl 24	II	-	LC	Nativa	Colibrí de cola rufa,	Amazilia handleyi	(De la Llave, 1833)										
						colibrí cola canela	Trochilus tzacatl											
108	Amazilia viridicauda	II	-	LC	Endémica	Colibrí verde y blanco	Leucippus viridicauda	(Berlepsch, 1883)										
						Mango de garganta												
109	Anthracothorax nigricollis	II	-	LC	Nativa		Trochilus nigricollis	(Vieillot, 1817)										
						negra												
						Mango de pecho												
110	Anthracothorax prevostii25	II	-	LC	Nativa	verde, colibrí garganta	Trochilus prevostii	(Lesson, 1832)										
						negra												
						Colibrí de pecho												
111	Boissonneaua matthewsii	II	-	LC	Nativa		Trochilus matthewsii	(Bourcier, 1847)										
						castaño												
112	Calliphlox amethystina	II	-	LC	Nativa	Estrellita amatista	Trochilus amethystinus	(Boddaert, 1783)										
						Ala-de-sable de pecho												
113	Campylopterus largipennis	II	-	LC	Nativa		Trochilus largipennis	(Boddaert, 1783)										
						gris												
	Campylopterus																	
114		II	NT	NT	Nativa	Ala-de-sable del Napo	Trochilus villaviscensio	(Bourcier, 1851)										
	villaviscensio																	
115	Chaetocercus bombus	II	NT	VU	Nativa	Estrellita chica	Acestrura bombus	Gould, 1871										
							Acestrura mulsant											
						Estrellita de vientre												
116	Chaetocercus mulsant	II	-	LC	Nativa		Chaetocercus mulsanti	(Bourcier, 1842)										
						blanco												
							Ornismya mulsant											
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
								(DeLattre & Bourcier,										
117	Chalcostigma herrani	II	-	LC	Nativa	Pico-espina arcoíris	Trochilus herrani											
								1846)										
118	Chalcostigma olivaceum	II	-	LC	Nativa	Pico-espina oliváceo	Ramphomicron olivaceus	(Lawrence, 1864)										
						Pico-espina de gorro	Trochilus ruficeps											
119	Chalcostigma ruficeps	II	-	LC	Nativa			(Gould, 1846)										
						rufo	Metallura ruficeps											
						Pico-espina de dorso												
120	Chalcostigma stanleyi	II	-	LC	Nativa		Trochilus stanleyi	(Bourcier, 1851)										
						azul												
121	Chalybura buffonii	II	-	LC	Nativa	Colibrí de Buffon	Trochilus buffonii	(Lesson, 1832)										
							Chlorostilbon notatus											
						Zafiro de barbilla azul,	Chlorestes notatus											
122	Chlorestes notata	II	-	LC	Nativa			(G. C. Reich, 1793)										
						colibrí verdecito	Trochilus notatus											
							Chlorestes notata											
							Chlorostilbon											
						Esmeralda de vientre	aureoventris	(D'Orbigny & Lafresnaye,										
123	Chlorostilbon lucidus	II	-	LC	Nativa													
						dorado	Chlorostilbon lucidus	1838)										
							Ornismya aureoventris											
							C. salvini  / C. prasinus											
							C. melanorhynchus											
